Cage,Rack,Label,Physical IP,Management IP,IPv6(Global Unicast),Server Type,OS,ZService,Component,Group,BIOS Version,BMC Version,Serial Number,Vendor,Server Model,Installation Date,Motherboard Model,IPMI Version,Redfish Version,Kernel Version,MAC Address,RAM (GB),Memory Encryption,Drive Type,Disk Encryption,CPU Model,CPU(s),Physical CPU,CPU Cores,CPU Architecture,Disk Count,Total Disk Size,Role,Power Consumed (W),Server Age,PO Number,VLAN
Cage1,CT19,CT19-FTB10-N1,10.191.252.111,172.20.4.226,-,PHYSICAL_SERVER,Debian 11.11,Catalyst,Test-Server,NA,2.0c,2.12,A18365445A00990,Supermicro,SYS-F618R2-RTN+,23-03-2018,X10DRFR-N,2.0,-,5.10.106,0c:c4:7a:b0:c2:52,128,Unknown,Mixed,Not Known,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,32,2,8,x86_64,3,3.4 TB,-,-1,8,-,CATALYST-CONTAINERS_VLAN
Cage1,CT19,CT19-FTB10-N2,172.20.25.7,172.20.4.227,-,PHYSICAL_SERVER,Debian 12.6,WMS,AMServer,NA,3.0a,3.71,A18365445A00990,Supermicro,SYS-F618R2-RTN+,13-06-2018,X10DRFR-N,2.0,1.0.1,6.1.94,0c:c4:7a:b0:c4:02,32,Unknown,HDD,HW Encryption Not Supported,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,32,2,8,x86_64,1,1 TB,-,-1,8,-,VLAN-172.20
Cage1,CT19,CT19-FTB10-N3,172.20.11.176,172.20.4.228,fd00::1,PHYSICAL_SERVER,Debian 11.3,ZVPLive,WSServer,WSServer-pocvod,2.0c,2.12,A18365445A00990,Supermicro,SYS-F618R2-RTN+,25-05-2018,X10DRFR-N,2.0,-,5.10.106,0c:c4:7a:b0:c2:a2,32,Unknown,HDD,HW Encryption Not Supported,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,32,2,8,x86_64,4,4 TB,-,-1,8,-,VLAN-172.20
Cage1,CT19,CT19-FTB10-N5,172.20.16.45,172.20.4.230,-,PHYSICAL_SERVER,Debian 12.6,Crm,MySQL,automation8,1.0c,2.12,A18365445A00990,Supermicro,SYS-F618R2-RTN+,01-01-1970,X10DRFR-N,2.0,-,6.1.76,0c:c4:7a:b0:ac:08,128,Unknown,NVMe,HW Encryption Supported,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,32,2,8,x86_64,2,1.9 TB,-,-1,56,-,VLAN-172.20
Cage1,CT19,CT19-FTB10-N7,172.20.95.254,172.20.4.232,-,KVM,Debian 11.3,-,-,-,1.0c,2.12,A18365445A00990,Supermicro,SYS-F618R2-RTN+,01-01-1970,X10DRFR-N,2.0,-,5.10.106,0c:c4:7a:b0:ac:ea,256,Unknown,SSD,HW Encryption Supported,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,32,2,8,x86_64,4,7.6 TB,-,-1,56,-,VLAN-172.20
Cage1,CT19,CT19-FTB10-N8,172.20.13.103,172.20.4.242,-,KVM,CentOS Linux release 7.4.1708 (Core),-,-,-,3.0a,3.71,A18365445A00990,Supermicro,SYS-F618R2-RTN+,13-06-2018,X10DRFR-N,2.0,1.0.1,3.10.0-693.11.6.el7.x86_64,0c:c4:7a:b0:ac:b4,128,Unknown,HDD,HW Encryption Not Supported,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,32,2,8,x86_64,1,2 TB,-,-1,8,-,VLAN-172.20
Cage1,CT19,CT19-FTB19-N1,172.20.13.2,172.20.30.166,-,KVM,CentOS Linux release 7.3.1611 (Core),-,-,-,1.0a,1.67,S16603944A03514,Supermicro,SYS-F618R2-RT+,22-12-2016,X10DRFR,2.0,-,3.10.0-514.10.2.el7.x86_64,0c:c4:7a:13:61:0e,128,Unknown,HDD,HW Encryption Not Supported,Intel(R) Xeon(R) CPU E5-2650 v3 @ 2.30GHz,40,2,10,x86_64,6,6 TB,-,-1,9,-,VLAN-172.20
Cage1,CT19,CT19-FTB19-N2,172.20.133.248,172.20.89.157,2001:df3:fa80::20:101,PHYSICAL_SERVER,Debian 11.7,L3,Keepalived,L3-LZ-C1,1.1,3.91,S183654X5A29753,Supermicro,SYS-F618R2-RTN+,26-01-2017,X10DRFR-N,2.0,-,5.10.191,0c:c4:7a:b0:85:d6,32,Unknown,HDD,HW Encryption Supported,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,32,2,8,x86_64,1,1 TB,Master,-1,9,-,VLAN-172.20
Cage1,CT19,CT19-FTB19-N3,172.20.12.254,172.20.30.168,-,KVM,CentOS Linux release 7.2.1511 (Core),-,-,-,1.0a,1.67,S16603944A03514,Supermicro,SYS-F618R2-RT+,22-12-2016,X10DRFR,2.0,-,3.10.0-327.36.3.el7.x86_64,0c:c4:7a:13:61:34,128,Unknown,HDD,HW Encryption Not Supported,Intel(R) Xeon(R) CPU E5-2650 v3 @ 2.30GHz,40,2,10,x86_64,6,6 TB,-,-1,9,-,VLAN-172.20
Cage1,CT19,CT19-FTB19-N4,172.20.12.255,172.20.30.169,-,KVM,CentOS Linux release 7.2.1511 (Core),-,-,-,1.0a,1.67,S16603944A03514,Supermicro,SYS-F618R2-RT+,22-12-2016,X10DRFR,2.0,-,3.10.0-327.36.3.el7.x86_64,0c:c4:7a:13:60:92,128,Unknown,HDD,HW Encryption Not Supported,Intel(R) Xeon(R) CPU E5-2650 v3 @ 2.30GHz,40,2,10,x86_64,6,6 TB,-,-1,9,-,VLAN-172.20
Cage1,CT19,CT19-FTB19-N5,172.20.12.230,172.20.30.170,-,KVM,CentOS Linux release 7.3.1611 (Core),-,-,-,1.0a,1.67,S16603944A03514,Supermicro,SYS-F618R2-RT+,22-12-2016,X10DRFR,2.0,-,3.10.0-514.10.2.el7.x86_64,0c:c4:7a:13:60:90,128,Unknown,HDD,HW Encryption Not Supported,Intel(R) Xeon(R) CPU E5-2650 v3 @ 2.30GHz,40,2,10,x86_64,6,6 TB,-,-1,9,-,VLAN-172.20
Cage1,CT19,CT19-FTB19-N6,172.20.12.232,172.20.30.171,-,KVM,CentOS Linux release 7.3.1611 (Core),-,-,-,1.0a,1.67,S16603944A03514,Supermicro,SYS-F618R2-RT+,22-12-2016,X10DRFR,2.0,-,3.10.0-514.10.2.el7.x86_64,0c:c4:7a:13:60:a8,128,Unknown,HDD,HW Encryption Not Supported,Intel(R) Xeon(R) CPU E5-2650 v3 @ 2.30GHz,40,2,10,x86_64,5,5 TB,-,-1,9,-,VLAN-172.20
Cage1,CT19,CT19-FTB19-N7,172.20.12.231,172.20.30.172,-,KVM,CentOS Linux release 7.3.1611 (Core),-,-,-,1.0a,1.67,S16603944A03514,Supermicro,SYS-F618R2-RT+,22-12-2016,X10DRFR,2.0,-,3.10.0-514.10.2.el7.x86_64,0c:c4:7a:13:60:36,128,Unknown,HDD,HW Encryption Not Supported,Intel(R) Xeon(R) CPU E5-2650 v3 @ 2.30GHz,40,2,10,x86_64,6,6 TB,-,-1,9,-,VLAN-172.20
Cage1,CT19,CT19-FTB19-N8,172.20.12.241,172.20.30.173,-,KVM,CentOS Linux release 7.3.1611 (Core),-,-,-,1.0a,1.67,S16603944A03514,Supermicro,SYS-F618R2-RT+,22-12-2016,X10DRFR,2.0,-,3.10.0-514.10.2.el7.x86_64,0c:c4:7a:13:60:88,128,Unknown,HDD,HW Encryption Not Supported,Intel(R) Xeon(R) CPU E5-2650 v3 @ 2.30GHz,40,2,10,x86_64,6,6 TB,-,-1,9,-,VLAN-172.20
