Label,Virtual Machine IP,KVM Host,KVM OS,ZService,Component,Group,Kernel Version,MAC Address,OS,RAM (GB),Memory Encryption,Role,Disk Count,Total Disk Size (GB),VLAN,Server Age,vCPUs,Drive Type,CPU Affinity Type
CT1B-0501-S1U37-vm12,172.20.92.81,172.20.96.101,Debian 11.7,ZCPDebianARM,Test-Server,NA,5.10.178,52:54:00:51:7b:bf,Debian 11.7,8,None,-,1,183,VLAN-172.20,2,24,NVMe,Shared - Group 1
CT1B-0501-S1U37-vm14,172.20.92.83,172.20.96.101,Debian 11.7,ZCPDebianARM,Test-Server,NA,5.10.178,52:54:00:60:dd:2d,Debian 11.7,8,None,-,1,183,VLAN-172.20,2,24,NVMe,Shared - Group 1
CT1B-0501-S1U37-vm15,172.20.92.84,172.20.96.101,Debian 11.7,ZCPDebianARM,Test-Server,NA,5.10.178,52:54:00:94:2e:21,Debian 11.7,8,None,-,1,183,VLAN-172.20,2,24,NVMe,Shared - Group 1
CT1B-0501-S1U37-vm13,172.20.92.82,172.20.96.101,Debian 11.7,ZCPDebianARM,Test-Server,NA,5.10.178,52:54:00:38:9a:66,Debian 11.7,8,None,-,1,183,VLAN-172.20,2,24,NVMe,Shared - Group 1
CT19-FTA27-N2-vm2,192.168.187.68,192.168.187.248,Debian 11.7,Mi,Test-Server,NA,5.10.191,72:c8:b2:2d:71:db,Debian 11.11,4,Unknown,-,1,1200,LOCALZOHO-CORP,2,8,HW_RAID,Dedicated
CT1B-0205-H1U20-vm5,10.62.23.46,172.20.68.233,Debian 12.6,Valari,Test-Server,NA,6.1.94,ca:4f:92:8f:78:03,Debian 12.6,16,None,-,1,537,CT1B-VLAN2,2,32,SSD,Shared - Group 1
CT19-FTA27-N2-vm1,192.168.187.86,192.168.187.248,Debian 11.7,Mi,AppServer,MiTest2,5.10.191,76:b5:1c:b8:08:d8,Debian 11.7,4,Unknown,-,1,1200,LOCALZOHO-CORP,2,16,HW_RAID,Shared - Group 1
CT1B-0203-BTA16-N3-vm32,172.20.70.25,172.20.95.8,Debian 11.7,Infra-Services,Test-Server,kea-mysql-slave,5.10.191,46:81:85:08:5e:ac,Debian 11.7,8,Unknown,-,1,508,VLAN-172.20,2,32,NVMe,Shared - Group 2
CT1B-0203-BTA16-N3-vm33,172.20.210.80,172.20.95.8,Debian 11.7,Prereports,MySQL,analytics,6.1.123,82:31:4c:ef:e6:34,Debian 12.9,16,Unknown,Sec Slave,1,1100,VLAN-172.20,2,32,NVMe,Shared - Group 2
CT1B-0203-BTA16-N3-vm34,10.62.23.55,172.20.95.8,Debian 11.7,ZDBAdmin-Csez,TimeSeriesDB,decipher,5.10.191,0e:6b:67:50:d1:69,Debian 11.7,16,Unknown,Not In Cluster,1,1100,CT1B-VLAN2,2,32,NVMe,Shared - Group 2
CT1B-0203-BTA16-N3-vm35,192.168.185.69,172.20.95.8,Debian 11.7,Code,AppServer,Code_backup_scheduler,5.10.191,de:ce:b5:e9:8e:b6,Debian 11.7,32,Unknown,-,1,1100,CODE_APP_VLAN,2,32,NVMe,Shared - Group 2
CT1B-0203-BTA16-N3-vm36,172.20.69.253,172.20.95.8,Debian 11.7,Cloud,HypermemReplicator,cloud_hypermemreplicator,5.10.191,9a:5a:dc:9c:5b:c4,Debian 11.7,128,Unknown,-,1,4300,VLAN-172.20,2,32,NVMe,Shared - Group 2
CT1B-0203-BTA16-N3-vm37,172.20.209.20,172.20.95.8,Debian 11.7,Payments,Test-Server,NA,6.1.123,ae:cb:57:ef:a3:6e,Debian 12.9,16,Unknown,-,1,859,VLAN-172.20,2,32,NVMe,Shared - Group 2
CT1B-0203-BTA16-N3-vm38,172.20.207.72,172.20.95.8,Debian 11.7,Dataprep,Dpaas,default1,6.1.123,7e:6b:8e:27:1b:ba,Debian 12.9,16,Unknown,-,1,859,VLAN-172.20,2,32,NVMe,Shared - Group 2
CT1B-0203-BTA16-N3-vm39,172.20.49.36,172.20.95.8,Debian 11.7,MDM,Postgres,default,6.12.90,5e:ea:8b:c0:71:b1,Debian 13.5,16,Unknown,Master,1,859,VLAN-172.20,2,32,NVMe,Shared - Group 2
CT1B-0203-BTA16-N2-vm32,172.20.69.246,172.20.95.6,Debian 11.7,Infra-Services,Test-Server,kea-mysql-master,5.10.191,c6:a0:99:df:6a:d7,Debian 11.7,8,Unknown,-,1,508,VLAN-172.20,2,32,NVMe,Shared - Group 2
CT1B-0203-BTA16-N2-vm33,172.20.69.247,172.20.95.6,Debian 11.7,Creator,MySQL,default,5.10.191,9e:d9:4f:43:64:b9,Debian 11.7,16,Unknown,Master,1,1100,VLAN-172.20,2,32,NVMe,Shared - Group 2
CT1B-0203-BTA16-N2-vm34,172.20.214.48,172.20.95.6,Debian 11.7,Platform,MySQL,default,6.1.123,1a:51:36:ce:14:f9,Debian 12.9,16,Unknown,Slave,1,1100,VLAN-172.20,2,32,NVMe,Shared - Group 2
CT1B-0203-BTA16-N2-vm37,172.20.68.229,172.20.95.6,Debian 11.7,Cloud,HyperMem,reports,6.1.123,92:61:93:67:d8:ea,Debian 11.7,16,Unknown,Master,1,859,VLAN-172.20,2,32,NVMe,Shared - Group 2
CT1B-0203-BTA16-N2-vm38,172.20.69.229,172.20.95.6,Debian 11.7,Crm,Test-Server,NA,5.10.191,be:7a:44:42:2a:95,Debian 11.7,16,Unknown,-,1,859,VLAN-172.20,2,32,NVMe,Shared - Group 2
CT1B-0203-BTA16-N2-vm39,172.20.69.230,172.20.95.6,Debian 11.7,Crm,Test-Server,NA,5.10.191,06:27:c7:02:bc:ac,Debian 11.7,16,Unknown,-,1,859,VLAN-172.20,2,32,NVMe,Shared - Group 2
CT1A21-D2C13-N1-vm3,172.20.69.233,172.20.71.134,Debian 11.7,Books,AppServer,BooksQA,5.10.191,52:54:00:3d:80:47,Debian 11.7,8,Unknown,-,1,292,VLAN-172.20,2,40,HDD,Shared - Group 1
CT1B-0203-BTA16-N4-vm2,172.20.63.188,172.20.95.9,Debian 11.7,ZiaHub,Kites-Worker,KITES_WORKER_INTERNAL,6.1.112,06:8b:46:fe:58:02,Debian 12.6,16,Unknown,-,2,913,VLAN-172.20,2,32,NVMe,Shared - Group 1
CT1B-0203-BTA16-N4-vm1,172.20.87.186,172.20.95.9,Debian 11.7,Scrapy,Apex,Apex-PSC,5.10.191,6a:0f:f5:74:2b:5a,Debian 11.7,16,Unknown,-,1,644,VLAN-172.20,2,32,NVMe,Shared - Group 1
CT1B-0203-BTA16-N4-vm4,172.20.92.45,172.20.95.9,Debian 11.7,BDaaSAdmin,PrestoWorker,prestobdaas_beast,5.10.191,b6:67:4f:67:40:b5,Debian 11.7,16,Unknown,-,1,644,VLAN-172.20,2,32,NVMe,Shared - Group 1
CT1B-0203-BTA16-N4-vm3,172.20.92.44,172.20.95.9,Debian 11.7,DL,Language-Detection,LanguageDetection,5.10.191,12:1a:b5:5a:f9:d8,Debian 11.7,16,Unknown,-,1,644,VLAN-172.20,2,32,NVMe,Shared - Group 1
CT1B-0203-BTA16-N4-vm6,172.20.92.47,172.20.95.9,Debian 11.7,ZDeskImport,AppServer,ZDeskImport,5.10.191,b2:10:a2:89:7e:94,Debian 11.7,16,Unknown,-,1,644,VLAN-172.20,2,32,NVMe,Shared - Group 1
CT1B-0203-BTA16-N4-vm7,172.20.92.48,172.20.95.9,Debian 11.7,Writer,AppServer,writerpdfimport,5.10.191,82:8b:5d:82:a8:2d,Debian 11.7,16,Unknown,-,1,644,VLAN-172.20,2,32,NVMe,Shared - Group 1
CT1B-0203-BTA16-N4-vm9,172.20.92.50,172.20.95.9,Debian 11.7,BDaaSAdmin,PrestoCoordinator,prestobdaas_beast,5.10.191,e2:d2:ed:66:6d:5a,Debian 11.7,16,Unknown,Master,1,644,VLAN-172.20,2,32,NVMe,Shared - Group 1
