Cage,Rack,Label,Server IP,HostName,Server Type,Server Model,ZService,Component,Group,OS,RAM (GB),Memory Encryption,Disk Encryption,Role,LB Type,PO Number,VLAN,CPU(s),Drive Type
CT1E,CT1E-0113,CT1E-0113-D1R33-vm28,10.164.205.246,10.164.205.246,VM,-,ProjectXTest,Test-Server,NA,Debian 12.9,8,None,HW Encryption Supported,-,None,-,CT1E-COMMON APP-1,32,NVMe
CT1E,CT1E-0114,CT1E-0114-D1R33-vm6,10.164.205.118,10.164.205.118,VM,-,ProjectXTest,Test-Server,Sathrak,Debian 13.4,64,None,HW Encryption Supported,-,None,-,CT1E-COMMON APP-1,32,NVMe
CT1E,CT1E-0114,CT1E-0114-D1R33-vm20,10.164.206.39,10.164.206.39,VM,-,ProjectXTest,Test-Server,NA,Debian 13.6,32,None,HW Encryption Supported,-,None,-,CT1E-COMMON APP-1,32,NVMe
CT1E,CT1E-0115,CT1E-0115-D1R33-vm10,10.164.204.70,10.164.204.70,VM,-,ProjectXTest,Test-Server,Arun,Debian 12.9,8,None,HW Encryption Supported,-,None,-,CT1E-COMMON APP-1,32,NVMe
CT1E,CT1E-0115,CT1E-0115-D1R32-vm29,10.164.204.53,10.164.204.53,VM,-,ProjectXTest,Test-Server,Arun,Debian 12.9,8,None,HW Encryption Supported,-,None,-,CT1E-COMMON APP-1,32,NVMe
CT1E,CT1E-0115,CT1E-0115-D1R32-vm30,10.164.204.73,10.164.204.73,VM,-,ProjectXTest,Test-Server,Arun,Debian 12.9,8,None,HW Encryption Supported,-,None,-,CT1E-COMMON APP-1,32,NVMe
CT1E,CT1E-0116,CT1E-0116-D1R31-vm26,10.164.39.41,10.164.39.41,VM,-,ProjectXTest,Test-Server,SanthoshM,Debian 13.1,8,None,HW Encryption Supported,-,None,-,CT1E-COMMON APP-4,64,NVMe
CT1E,CT1E-0116,CT1E-0116-D1R31-vm27,10.164.39.45,10.164.39.45,VM,-,ProjectXTest,Test-Server,SanthoshM,Debian 13.1,8,None,HW Encryption Supported,-,None,-,CT1E-COMMON APP-4,64,NVMe
CT1E,CT1E-0116,CT1E-0116-D1R31-vm29,10.164.205.129,10.164.205.129,VM,-,ProjectXTest,Test-Server,NA,Debian 13.1,8,None,HW Encryption Supported,-,None,-,CT1E-COMMON APP-1,64,NVMe
CT1E,CT1E-115,CT1E-115-D1R30-vm39,10.164.38.75,10.164.38.75,VM,-,ProjectXTest,Test-Server,Anish,Debian 12.9,8,None,HW Encryption Supported,-,None,ZOHOCHN-SIFY/25-26/0066,CT1E-COMMON APP-4,32,NVMe
CT1E,CT1E-119,CT1E-119-D1R34-vm6,10.164.207.162,10.164.207.162,VM,-,ProjectXTest,Test-Server,Sathrak,Debian 13.4,64,None,HW Encryption Supported,-,None,ZOHOCHN-SIFY/25-26/0066,CT1E-COMMON APP-1,32,NVMe
NWL-HALL4-POD1-ROW2,CT1B-0202,CT1B-0202-GTA20-N2-vm14,172.20.94.145,172.20.94.145,VM,-,ProjectXTest,Test-Server,Ponrajkumar,Debian 12.9,8,None,Not Known,-,None,ZOHO EST/23-24/0702,VLAN-172.20,32,NVMe
CT1E,CT1E-119,CT1E-119-D1R33-vm38,10.164.204.86,10.164.204.86,VM,-,ProjectXTest,Test-Server,Arun,Debian 12.9,8,None,HW Encryption Supported,-,None,ZOHOCHN-SIFY/25-26/0066,CT1E-COMMON APP-1,32,NVMe
CT1E,CT1E-120,CT1E-120-D1R30-vm5,10.164.204.82,10.164.204.82,VM,-,ProjectXTest,Test-Server,Arun,Debian 12.9,8,None,HW Encryption Supported,-,None,ZOHOCHN-SIFY/25-26/0066,CT1E-COMMON APP-1,32,NVMe
CT1E,CT1E-0111,CT1E-0111-D1R33-vm13,10.164.39.223,10.164.39.223,VM,-,ProjectXTest,Test-Server,Sathrak,Debian 13.4,16,None,HW Encryption Supported,-,None,-,CT1E-COMMON APP-4,32,NVMe
CT1E,CT1E-0115,CT1E-0115-D1R31-vm34,10.164.38.134,10.164.38.134,VM,-,ProjectXTest,Test-Server,Sathrak,Debian 13.4,16,None,HW Encryption Supported,-,None,-,CT1E-COMMON APP-4,32,NVMe
CT1E,CT1E-0115,CT1E-0115-D1R31-vm39,10.164.38.93,10.164.38.93,VM,-,ProjectXTest,Test-Server,Sathrak,Debian 13.4,16,None,HW Encryption Supported,-,None,-,CT1E-COMMON APP-4,32,NVMe
CT1E,CT1E-119,CT1E-119-D1R30-vm10,10.164.38.191,10.164.38.191,VM,-,ProjectXTest,Test-Server,Sathrak,Debian 13.4,16,None,HW Encryption Supported,-,None,ZOHOCHN-SIFY/25-26/0066,CT1E-COMMON APP-4,32,NVMe
CT1E,CT1E-119,CT1E-119-D1R30-vm11,10.164.38.145,10.164.38.145,VM,-,ProjectXTest,Test-Server,Sathrak,Debian 13.4,16,None,HW Encryption Supported,-,None,ZOHOCHN-SIFY/25-26/0066,CT1E-COMMON APP-4,32,NVMe
CT1E,CT1E-119,CT1E-119-D1R30-vm19,10.164.38.182,10.164.38.182,VM,-,ProjectXTest,Test-Server,Sathrak,Debian 13.4,16,None,HW Encryption Supported,-,None,ZOHOCHN-SIFY/25-26/0066,CT1E-COMMON APP-4,32,NVMe
